Location,Property_Type,Bedrooms,Bathrooms,House_Size_sqm,Lot_Size_sqm,Year_Built,Furnishing,Water_Supply,Power_Supply,Annual_Rent_NGN
Ajibode,Room,1,1,26,662,2004,Fully Furnished,Public,Stable,275000
Ajibode,Self Contained,1,1,36,200,2004,Fully Furnished,Public,Stable,486000
Akobo,2 Bedroom Flat,2,2,97,468,2014,Unfurnished,Well,Stable,1000000
Agbowo,2 Bedroom Flat,2,2,94,577,1994,Semi-Furnished,Well,Moderate,891000
Mokola,Self Contained,1,1,27,487,1997,Semi-Furnished,Borehole,Moderate,354000
Bodija,Room,1,1,18,221,2011,Semi-Furnished,Well,Stable,346000
Ologuneru,Room,1,1,21,686,2003,Unfurnished,Borehole,Moderate,163000
Ajibode,Room,1,1,29,325,2008,Semi-Furnished,Well,Stable,231000
Mokola,Room,1,1,28,537,2015,Unfurnished,Well,Stable,175000
Challenge,Room,1,1,28,577,2022,Unfurnished,Borehole,Stable,200000
Challenge,Mini Flat,1,2,52,553,2001,Unfurnished,Borehole,Stable,390000
Mokola,Mini Flat,1,2,64,760,2018,Unfurnished,Borehole,Stable,531000
Challenge,Self Contained,1,1,33,540,2001,Unfurnished,Borehole,Poor,179000
Akobo,2 Bedroom Flat,2,2,74,626,2018,Unfurnished,Well,Poor,815000
Ajibode,Room,1,1,28,539,2009,Fully Furnished,Borehole,Poor,280000
Ajibode,Room,1,1,20,660,2023,Fully Furnished,Well,Poor,247000
Apata,Mini Flat,1,2,49,800,2019,Semi-Furnished,Borehole,Stable,513000
Akobo,Self Contained,1,1,31,574,2018,Unfurnished,Borehole,Moderate,325000
Challenge,Room,1,1,21,690,1991,Fully Furnished,Borehole,Moderate,236000
Bodija,2 Bedroom Flat,2,2,87,811,2015,Semi-Furnished,Borehole,Moderate,1248000
Ajibode,Mini Flat,1,2,45,794,1990,Semi-Furnished,Public,Stable,654000
Ajibode,Mini Flat,1,2,52,480,2017,Unfurnished,Well,Stable,448000
Oluyole,Self Contained,1,1,25,736,1997,Unfurnished,Public,Moderate,368000
Agbowo,Mini Flat,1,2,62,594,2020,Unfurnished,Borehole,Poor,450000
Ajibode,Room,1,1,21,751,2008,Unfurnished,Borehole,Poor,221000
Bodija,Room,1,1,23,652,2002,Semi-Furnished,Borehole,Moderate,351000
Ajibode,Mini Flat,1,2,50,599,2005,Semi-Furnished,Borehole,Stable,481000
Akobo,Self Contained,1,1,36,628,2012,Unfurnished,Well,Stable,359000
Agbowo,Self Contained,1,1,30,595,2000,Semi-Furnished,Public,Stable,329000
Challenge,Room,1,1,28,602,2013,Semi-Furnished,Well,Poor,214000
Agbowo,Self Contained,1,1,36,521,1999,Semi-Furnished,Public,Moderate,472000
Bodija,Duplex,4,4,215,504,1994,Unfurnished,Public,Stable,2652000
Ajibode,3 Bedroom Flat,3,3,135,867,2001,Unfurnished,Borehole,Poor,1043000
Ajibode,2 Bedroom Flat,2,2,77,635,2015,Semi-Furnished,Borehole,Poor,846000
Agbowo,Room,1,1,29,446,2017,Semi-Furnished,Well,Poor,285000
Bodija,Room,1,1,26,500,2005,Fully Furnished,Borehole,Poor,460000
Akobo,Room,1,1,24,740,1991,Unfurnished,Borehole,Poor,229000
Agbowo,2 Bedroom Flat,2,2,73,417,2015,Unfurnished,Borehole,Moderate,775000
Oluyole,Room,1,1,29,283,1993,Fully Furnished,Borehole,Stable,286000
Mokola,Room,1,1,29,296,2018,Fully Furnished,Borehole,Moderate,196000
Challenge,Room,1,1,26,238,2005,Semi-Furnished,Borehole,Moderate,215000
Ajibode,Mini Flat,1,2,53,316,2011,Semi-Furnished,Well,Moderate,546000
Bodija,Self Contained,1,1,36,337,1995,Semi-Furnished,Borehole,Moderate,506000
Ajibode,2 Bedroom Flat,2,2,89,799,2017,Semi-Furnished,Borehole,Poor,800000
Agbowo,Room,1,1,23,541,2000,Unfurnished,Borehole,Stable,185000
Ologuneru,Room,1,1,23,484,2010,Unfurnished,Borehole,Stable,155000
Ajibode,2 Bedroom Flat,2,2,77,290,2015,Unfurnished,Well,Poor,754000
Bodija,Room,1,1,21,524,2011,Semi-Furnished,Borehole,Stable,390000
Akobo,Mini Flat,1,2,62,237,2019,Unfurnished,Borehole,Moderate,694000
Oluyole,Mini Flat,1,2,50,483,2019,Unfurnished,Well,Stable,770000
Bodija,Room,1,1,19,921,2022,Unfurnished,Borehole,Poor,323000
Ajibode,Room,1,1,24,669,2019,Unfurnished,Borehole,Moderate,227000
Agbowo,Mini Flat,1,2,46,512,2019,Fully Furnished,Well,Stable,637000
Bodija,Room,1,1,23,675,2015,Unfurnished,Public,Moderate,219000
Ajibode,3 Bedroom Flat,3,3,157,456,1995,Unfurnished,Borehole,Poor,985000
Agbowo,Room,1,1,23,405,1993,Unfurnished,Borehole,Stable,175000
Ajibode,Room,1,1,25,856,2004,Semi-Furnished,Public,Stable,222000
Ajibode,Mini Flat,1,2,55,344,1992,Semi-Furnished,Borehole,Moderate,578000
Agbowo,Room,1,1,25,486,2005,Fully Furnished,Borehole,Moderate,228000
Ajibode,Duplex,4,4,251,605,2005,Semi-Furnished,Borehole,Stable,1964000
Akobo,Self Contained,1,1,26,381,2016,Semi-Furnished,Borehole,Moderate,480000
Oluyole,Room,1,1,24,667,1995,Semi-Furnished,Public,Poor,322000
Challenge,Room,1,1,20,494,2010,Semi-Furnished,Borehole,Moderate,208000
Ajibode,Self Contained,1,1,27,669,2002,Unfurnished,Borehole,Stable,211000
Ajibode,2 Bedroom Flat,2,2,77,655,1998,Semi-Furnished,Borehole,Poor,488000
Ajibode,Room,1,1,20,506,1997,Unfurnished,Borehole,Poor,245000
Akobo,Self Contained,1,1,29,857,2017,Unfurnished,Borehole,Moderate,408000
Oluyole,Self Contained,1,1,27,430,2008,Semi-Furnished,Borehole,Moderate,522000
Ajibode,Mini Flat,1,2,61,792,2018,Semi-Furnished,Borehole,Moderate,625000
Apata,Mini Flat,1,2,62,761,2020,Semi-Furnished,Public,Stable,528000
Ajibode,Self Contained,1,1,39,868,2022,Semi-Furnished,Borehole,Stable,317000
Bodija,Self Contained,1,1,37,581,1995,Unfurnished,Borehole,Moderate,511000
Oluyole,2 Bedroom Flat,2,2,85,408,1993,Unfurnished,Borehole,Poor,870000
Ring Road,2 Bedroom Flat,2,2,71,923,2005,Semi-Furnished,Public,Stable,796000
Oluyole,Self Contained,1,1,35,489,1992,Semi-Furnished,Well,Moderate,481000
Challenge,Duplex,4,4,238,403,2014,Unfurnished,Well,Stable,1492000
Agbowo,Room,1,1,18,515,2006,Unfurnished,Well,Moderate,219000
Mokola,2 Bedroom Flat,2,2,83,373,2011,Semi-Furnished,Well,Moderate,673000
Ajibode,2 Bedroom Flat,2,2,76,644,2007,Semi-Furnished,Borehole,Stable,642000
Ring Road,Self Contained,1,1,34,440,2021,Unfurnished,Well,Poor,267000
Bodija,Mini Flat,1,2,62,498,2007,Unfurnished,Borehole,Moderate,637000
Mokola,Room,1,1,29,724,2015,Fully Furnished,Well,Stable,226000
Bodija,2 Bedroom Flat,2,2,77,662,2014,Unfurnished,Well,Stable,1060000
Akobo,Mini Flat,1,2,51,552,2017,Unfurnished,Borehole,Stable,603000
Bodija,Self Contained,1,1,38,580,2012,Unfurnished,Borehole,Poor,409000
Oluyole,Self Contained,1,1,33,552,1997,Unfurnished,Well,Moderate,349000
Ajibode,Room,1,1,28,472,2002,Fully Furnished,Borehole,Moderate,279000
Ajibode,2 Bedroom Flat,2,2,73,549,1999,Semi-Furnished,Public,Moderate,776000
Agbowo,Self Contained,1,1,36,638,1992,Unfurnished,Public,Moderate,387000
Ajibode,Mini Flat,1,2,51,527,1999,Unfurnished,Borehole,Moderate,419000
Ring Road,Room,1,1,19,625,2004,Unfurnished,Borehole,Moderate,221000
Ajibode,Mini Flat,1,2,50,399,2013,Unfurnished,Borehole,Stable,433000
Ologuneru,Room,1,1,26,441,1999,Semi-Furnished,Well,Stable,153000
Agbowo,Mini Flat,1,2,58,417,2010,Unfurnished,Borehole,Poor,504000
Ajibode,Room,1,1,19,448,2017,Fully Furnished,Borehole,Moderate,357000
Challenge,Room,1,1,19,781,1991,Unfurnished,Well,Poor,152000
Akobo,Room,1,1,24,680,1993,Unfurnished,Borehole,Stable,250000
Bodija,Self Contained,1,1,30,356,1992,Unfurnished,Borehole,Moderate,492000
Bodija,2 Bedroom Flat,2,2,99,628,2021,Unfurnished,Borehole,Moderate,986000
Oluyole,Room,1,1,21,479,2023,Semi-Furnished,Borehole,Stable,275000
Agbowo,Self Contained,1,1,32,427,2005,Unfurnished,Well,Poor,325000
Ologuneru,Room,1,1,20,282,1993,Unfurnished,Borehole,Moderate,157000
Ologuneru,Self Contained,1,1,30,724,2007,Unfurnished,Borehole,Poor,283000
Akobo,Room,1,1,26,304,2017,Unfurnished,Borehole,Poor,279000
Ajibode,Room,1,1,26,540,1995,Semi-Furnished,Borehole,Stable,239000
Oluyole,Self Contained,1,1,36,379,1990,Unfurnished,Borehole,Moderate,297000
Ajibode,Self Contained,1,1,30,689,2005,Unfurnished,Public,Moderate,321000
Ajibode,Room,1,1,22,489,1998,Unfurnished,Public,Poor,149000
Agbowo,Mini Flat,1,2,64,525,2006,Unfurnished,Borehole,Moderate,533000
Bodija,Room,1,1,29,531,2023,Semi-Furnished,Borehole,Stable,351000
Mokola,3 Bedroom Flat,3,3,135,604,2020,Fully Furnished,Public,Poor,1415000
Oluyole,Room,1,1,19,552,2023,Semi-Furnished,Well,Stable,284000
Challenge,Duplex,4,4,204,542,2023,Semi-Furnished,Borehole,Stable,1861000
Agbowo,Room,1,1,25,456,1990,Semi-Furnished,Public,Moderate,210000
Agbowo,3 Bedroom Flat,3,3,112,266,2004,Semi-Furnished,Well,Stable,1270000
Agbowo,Room,1,1,28,348,2020,Fully Furnished,Public,Poor,298000
Ologuneru,Room,1,1,18,679,2003,Unfurnished,Borehole,Poor,152000
Ajibode,Room,1,1,29,494,2023,Unfurnished,Public,Moderate,286000
Mokola,Mini Flat,1,2,62,430,1990,Semi-Furnished,Well,Moderate,509000
Akobo,Room,1,1,19,296,2000,Unfurnished,Public,Poor,201000
Agbowo,Room,1,1,24,240,2006,Semi-Furnished,Borehole,Poor,210000
Oluyole,Mini Flat,1,2,48,423,1994,Fully Furnished,Borehole,Moderate,659000
Bodija,Room,1,1,23,709,2006,Fully Furnished,Borehole,Poor,397000
Ring Road,Self Contained,1,1,28,449,2007,Unfurnished,Borehole,Stable,306000
Ring Road,Self Contained,1,1,28,622,2014,Unfurnished,Well,Poor,267000
Agbowo,Room,1,1,24,441,2005,Unfurnished,Borehole,Moderate,201000
Agbowo,2 Bedroom Flat,2,2,98,664,2012,Fully Furnished,Well,Stable,987000
Akobo,Self Contained,1,1,38,486,2010,Semi-Furnished,Borehole,Moderate,462000
Ring Road,Room,1,1,21,328,2018,Semi-Furnished,Borehole,Moderate,249000
Ajibode,Mini Flat,1,2,54,501,1999,Semi-Furnished,Public,Stable,521000
Akobo,2 Bedroom Flat,2,2,89,880,2009,Unfurnished,Public,Poor,1051000
Akobo,Room,1,1,27,872,1996,Unfurnished,Well,Moderate,281000
Oluyole,Room,1,1,28,637,2019,Unfurnished,Well,Moderate,216000
Ajibode,3 Bedroom Flat,3,3,145,525,2018,Unfurnished,Public,Moderate,1111000
Oluyole,Self Contained,1,1,34,604,1990,Unfurnished,Borehole,Moderate,394000
Ring Road,Self Contained,1,1,25,607,2010,Unfurnished,Well,Poor,285000
Ajibode,Self Contained,1,1,26,542,1996,Unfurnished,Borehole,Poor,295000
Agbowo,2 Bedroom Flat,2,2,95,629,1993,Semi-Furnished,Public,Poor,743000
Ologuneru,Self Contained,1,1,33,587,2004,Semi-Furnished,Borehole,Moderate,356000
Ajibode,Mini Flat,1,2,46,493,2023,Unfurnished,Borehole,Stable,585000
Mokola,Self Contained,1,1,31,334,1991,Unfurnished,Borehole,Poor,291000
Bodija,Room,1,1,26,467,1992,Fully Furnished,Public,Moderate,336000
Agbowo,Self Contained,1,1,26,693,1993,Unfurnished,Borehole,Moderate,299000
Ring Road,2 Bedroom Flat,2,2,99,544,2016,Fully Furnished,Public,Moderate,827000
Bodija,Self Contained,1,1,25,604,1993,Semi-Furnished,Borehole,Moderate,528000
Bodija,Self Contained,1,1,26,499,2008,Unfurnished,Well,Stable,398000
Agbowo,Room,1,1,22,359,2023,Semi-Furnished,Borehole,Poor,250000
Akobo,Mini Flat,1,2,56,507,2005,Semi-Furnished,Borehole,Poor,930000
Ajibode,Self Contained,1,1,26,365,2011,Fully Furnished,Well,Moderate,421000
Agbowo,Self Contained,1,1,25,354,2021,Semi-Furnished,Borehole,Poor,359000
Ologuneru,Self Contained,1,1,29,767,1991,Unfurnished,Well,Moderate,298000
Agbowo,Self Contained,1,1,25,474,2006,Unfurnished,Public,Moderate,329000
Akobo,Self Contained,1,1,34,416,2012,Semi-Furnished,Well,Poor,334000
Agbowo,Room,1,1,24,841,2001,Semi-Furnished,Public,Moderate,219000
Challenge,Self Contained,1,1,30,696,2002,Semi-Furnished,Borehole,Moderate,298000
Ajibode,Room,1,1,26,483,1999,Semi-Furnished,Borehole,Stable,228000
Ologuneru,Room,1,1,19,626,1993,Fully Furnished,Public,Moderate,236000
Bodija,Self Contained,1,1,28,507,1996,Unfurnished,Borehole,Poor,505000
Agbowo,2 Bedroom Flat,2,2,93,425,1991,Unfurnished,Borehole,Stable,742000
Ajibode,Self Contained,1,1,32,635,2004,Fully Furnished,Well,Poor,397000
Ajibode,Self Contained,1,1,32,491,1998,Unfurnished,Borehole,Moderate,283000
Bodija,2 Bedroom Flat,2,2,86,563,2013,Unfurnished,Borehole,Moderate,987000
Agbowo,2 Bedroom Flat,2,2,93,733,1995,Semi-Furnished,Well,Poor,823000
Mokola,Mini Flat,1,2,49,714,1996,Unfurnished,Well,Moderate,457000
Agbowo,Mini Flat,1,2,47,450,2005,Semi-Furnished,Public,Stable,653000
Agbowo,Self Contained,1,1,38,637,2006,Semi-Furnished,Public,Poor,334000
Akobo,Room,1,1,27,346,2019,Unfurnished,Borehole,Poor,231000
Oluyole,Room,1,1,28,631,1997,Fully Furnished,Borehole,Stable,332000
Ajibode,Room,1,1,21,576,1992,Fully Furnished,Borehole,Moderate,282000
Ajibode,Room,1,1,24,618,2014,Unfurnished,Public,Moderate,177000
Ajibode,Mini Flat,1,2,45,496,2018,Unfurnished,Borehole,Moderate,512000
Oluyole,Mini Flat,1,2,53,925,2010,Unfurnished,Borehole,Stable,592000
Oluyole,Room,1,1,25,387,1995,Semi-Furnished,Borehole,Moderate,309000
Bodija,2 Bedroom Flat,2,2,97,724,2012,Semi-Furnished,Borehole,Moderate,1120000
Mokola,Self Contained,1,1,33,364,2000,Unfurnished,Borehole,Stable,280000
Challenge,Self Contained,1,1,39,640,1995,Unfurnished,Public,Moderate,273000
Akobo,Room,1,1,26,653,2016,Semi-Furnished,Borehole,Poor,322000
Mokola,2 Bedroom Flat,2,2,95,559,2016,Unfurnished,Well,Stable,593000
Ajibode,Room,1,1,25,460,2002,Semi-Furnished,Borehole,Stable,220000
Ajibode,Room,1,1,18,575,1998,Semi-Furnished,Borehole,Moderate,224000
Agbowo,Self Contained,1,1,29,598,1997,Unfurnished,Well,Moderate,340000
Ajibode,Self Contained,1,1,37,872,2016,Unfurnished,Borehole,Stable,335000
Bodija,Self Contained,1,1,31,392,2021,Fully Furnished,Borehole,Moderate,598000
Apata,3 Bedroom Flat,3,3,156,449,2018,Unfurnished,Borehole,Stable,810000
Ajibode,Room,1,1,19,601,2022,Unfurnished,Well,Moderate,224000
Ajibode,Mini Flat,1,2,57,503,1994,Semi-Furnished,Borehole,Moderate,592000
Bodija,Self Contained,1,1,25,531,1998,Semi-Furnished,Public,Stable,620000
Apata,2 Bedroom Flat,2,2,70,742,2002,Fully Furnished,Borehole,Stable,745000
Agbowo,Mini Flat,1,2,47,200,2022,Semi-Furnished,Borehole,Moderate,502000
Bodija,2 Bedroom Flat,2,2,95,442,2019,Unfurnished,Borehole,Poor,857000
Ajibode,2 Bedroom Flat,2,2,82,236,2014,Unfurnished,Borehole,Poor,552000
Ajibode,2 Bedroom Flat,2,2,99,334,1995,Unfurnished,Borehole,Stable,602000
Ologuneru,Room,1,1,19,982,1999,Unfurnished,Well,Poor,174000
Ologuneru,Self Contained,1,1,30,657,2008,Semi-Furnished,Borehole,Poor,266000
Ajibode,Mini Flat,1,2,48,721,2000,Unfurnished,Borehole,Moderate,482000
Apata,Mini Flat,1,2,50,535,2006,Unfurnished,Borehole,Moderate,550000
Akobo,3 Bedroom Flat,3,3,113,686,1991,Fully Furnished,Borehole,Moderate,1808000
Mokola,Self Contained,1,1,27,232,1996,Semi-Furnished,Borehole,Moderate,329000
Bodija,Room,1,1,26,736,2020,Fully Furnished,Borehole,Moderate,421000
Bodija,Mini Flat,1,2,54,402,2020,Fully Furnished,Borehole,Moderate,934000
Bodija,Room,1,1,28,454,2006,Semi-Furnished,Borehole,Stable,337000
Oluyole,Mini Flat,1,2,61,640,2004,Semi-Furnished,Borehole,Moderate,738000
Ajibode,Room,1,1,22,606,1996,Semi-Furnished,Borehole,Moderate,203000
Ajibode,Self Contained,1,1,32,565,2019,Fully Furnished,Well,Poor,470000
Agbowo,Mini Flat,1,2,49,304,2003,Semi-Furnished,Well,Stable,611000
Oluyole,Room,1,1,29,567,2020,Unfurnished,Borehole,Moderate,223000
Ajibode,Room,1,1,23,722,1998,Fully Furnished,Well,Moderate,320000
Oluyole,Room,1,1,23,454,1998,Unfurnished,Borehole,Moderate,210000
Ologuneru,2 Bedroom Flat,2,2,77,786,1991,Semi-Furnished,Well,Stable,766000
Ajibode,Mini Flat,1,2,56,392,2011,Unfurnished,Borehole,Poor,505000
Oluyole,Mini Flat,1,2,45,551,2005,Semi-Furnished,Borehole,Stable,783000
Bodija,Self Contained,1,1,38,826,1991,Unfurnished,Borehole,Moderate,370000
Mokola,3 Bedroom Flat,3,3,112,427,2004,Unfurnished,Borehole,Moderate,816000
Ajibode,Room,1,1,20,739,1995,Unfurnished,Borehole,Poor,215000
Oluyole,Mini Flat,1,2,58,905,2012,Unfurnished,Public,Poor,498000
Mokola,Room,1,1,26,580,2017,Fully Furnished,Borehole,Poor,193000
Apata,Mini Flat,1,2,49,455,2006,Unfurnished,Borehole,Moderate,394000
Oluyole,Room,1,1,26,410,2008,Semi-Furnished,Well,Moderate,290000
Bodija,Room,1,1,18,784,1994,Unfurnished,Borehole,Poor,292000
Akobo,2 Bedroom Flat,2,2,87,779,2012,Unfurnished,Borehole,Poor,749000
Mokola,Room,1,1,23,810,2008,Unfurnished,Public,Moderate,179000
Akobo,Duplex,4,4,292,544,1990,Semi-Furnished,Well,Stable,2636000
Ajibode,Mini Flat,1,2,60,736,2016,Unfurnished,Borehole,Stable,396000
Apata,Mini Flat,1,2,45,541,2014,Fully Furnished,Public,Stable,529000
Oluyole,Mini Flat,1,2,52,391,1995,Semi-Furnished,Well,Stable,780000
Oluyole,Duplex,4,4,208,752,2006,Semi-Furnished,Borehole,Moderate,2284000
Ajibode,Room,1,1,22,844,2001,Unfurnished,Borehole,Stable,206000
Akobo,Duplex,4,4,258,366,2014,Unfurnished,Well,Moderate,2598000
Agbowo,Self Contained,1,1,27,362,1999,Fully Furnished,Borehole,Poor,432000
Akobo,Room,1,1,29,557,2013,Fully Furnished,Well,Poor,355000
Ajibode,3 Bedroom Flat,3,3,120,722,2000,Semi-Furnished,Well,Poor,1123000
Akobo,Room,1,1,22,345,2013,Unfurnished,Borehole,Moderate,310000
Ologuneru,Self Contained,1,1,27,590,1992,Fully Furnished,Well,Poor,387000
Ajibode,2 Bedroom Flat,2,2,86,443,2009,Semi-Furnished,Borehole,Poor,1031000
Ologuneru,Room,1,1,25,676,2012,Unfurnished,Borehole,Stable,139000
Agbowo,Mini Flat,1,2,51,406,1994,Unfurnished,Public,Moderate,453000
Ring Road,Mini Flat,1,2,57,688,2002,Semi-Furnished,Borehole,Poor,521000
Challenge,Mini Flat,1,2,45,521,1995,Unfurnished,Borehole,Moderate,394000
Akobo,Room,1,1,29,381,1991,Semi-Furnished,Well,Moderate,314000
Oluyole,Mini Flat,1,2,61,561,2018,Unfurnished,Well,Poor,598000
Ring Road,2 Bedroom Flat,2,2,86,201,1994,Unfurnished,Borehole,Poor,614000
Agbowo,Room,1,1,23,449,2004,Semi-Furnished,Borehole,Moderate,266000
Agbowo,3 Bedroom Flat,3,3,135,610,1997,Semi-Furnished,Public,Moderate,1409000
Oluyole,3 Bedroom Flat,3,3,128,231,2023,Semi-Furnished,Borehole,Moderate,1322000
Challenge,Room,1,1,22,200,2015,Unfurnished,Borehole,Moderate,155000
Challenge,3 Bedroom Flat,3,3,118,200,1998,Unfurnished,Borehole,Poor,671000
Challenge,3 Bedroom Flat,3,3,136,788,1997,Unfurnished,Borehole,Moderate,1051000
Agbowo,Room,1,1,23,536,2003,Semi-Furnished,Well,Poor,241000
Mokola,Mini Flat,1,2,57,454,2014,Semi-Furnished,Well,Moderate,591000
Ajibode,3 Bedroom Flat,3,3,130,720,2023,Semi-Furnished,Borehole,Poor,1389000
Bodija,2 Bedroom Flat,2,2,90,477,1992,Semi-Furnished,Public,Moderate,1232000
Ajibode,Room,1,1,26,598,2021,Fully Furnished,Borehole,Poor,279000
Agbowo,Self Contained,1,1,31,554,1994,Unfurnished,Well,Stable,349000
Agbowo,Self Contained,1,1,31,465,2004,Semi-Furnished,Public,Moderate,295000
Agbowo,Self Contained,1,1,38,602,2017,Unfurnished,Borehole,Moderate,372000
Oluyole,Self Contained,1,1,39,689,2007,Semi-Furnished,Well,Moderate,413000
Agbowo,Room,1,1,22,516,2000,Semi-Furnished,Borehole,Stable,224000
Bodija,Room,1,1,19,467,1999,Unfurnished,Well,Stable,276000
Agbowo,Room,1,1,18,488,1993,Fully Furnished,Borehole,Moderate,271000
Agbowo,Self Contained,1,1,32,200,2009,Unfurnished,Borehole,Poor,330000
Agbowo,Self Contained,1,1,38,600,1994,Unfurnished,Borehole,Stable,297000
Ajibode,3 Bedroom Flat,3,3,138,332,1990,Unfurnished,Public,Stable,987000
Akobo,Room,1,1,24,663,2002,Unfurnished,Borehole,Poor,253000
Oluyole,Self Contained,1,1,32,533,2011,Fully Furnished,Borehole,Moderate,663000
Akobo,2 Bedroom Flat,2,2,88,568,2002,Fully Furnished,Borehole,Stable,1266000
Bodija,2 Bedroom Flat,2,2,72,676,2004,Fully Furnished,Well,Moderate,1160000
Agbowo,Room,1,1,18,383,1998,Unfurnished,Well,Poor,184000
Mokola,Mini Flat,1,2,54,616,1992,Semi-Furnished,Well,Moderate,437000
Bodija,Room,1,1,26,598,1991,Unfurnished,Well,Moderate,293000
Bodija,3 Bedroom Flat,3,3,125,516,2001,Unfurnished,Well,Moderate,2047000
Ajibode,Room,1,1,25,382,2013,Unfurnished,Well,Moderate,204000
Agbowo,Mini Flat,1,2,64,657,2007,Unfurnished,Well,Stable,526000
Agbowo,Self Contained,1,1,27,676,2014,Unfurnished,Well,Poor,273000
Agbowo,Self Contained,1,1,30,570,2004,Unfurnished,Borehole,Poor,367000
Akobo,Room,1,1,26,357,1990,Semi-Furnished,Well,Moderate,297000
Bodija,Self Contained,1,1,35,455,1997,Unfurnished,Borehole,Moderate,309000
Akobo,Room,1,1,29,539,1996,Semi-Furnished,Well,Moderate,322000
Challenge,Mini Flat,1,2,63,673,2005,Fully Furnished,Well,Stable,597000
Mokola,Self Contained,1,1,25,264,2006,Unfurnished,Public,Moderate,293000
Oluyole,Self Contained,1,1,37,448,2019,Semi-Furnished,Borehole,Stable,399000
Apata,Self Contained,1,1,39,477,2007,Semi-Furnished,Borehole,Poor,246000
Ajibode,Mini Flat,1,2,53,535,2001,Semi-Furnished,Public,Moderate,585000
Ajibode,3 Bedroom Flat,3,3,152,315,2017,Unfurnished,Borehole,Moderate,845000
Ajibode,Self Contained,1,1,34,510,2000,Semi-Furnished,Borehole,Poor,315000
Akobo,Self Contained,1,1,39,494,1995,Unfurnished,Borehole,Moderate,372000
Ring Road,Mini Flat,1,2,64,363,2015,Semi-Furnished,Well,Moderate,401000
Agbowo,Self Contained,1,1,30,528,2005,Semi-Furnished,Borehole,Moderate,406000
Apata,Self Contained,1,1,39,452,1998,Unfurnished,Well,Stable,184000
Ajibode,Room,1,1,21,639,2007,Unfurnished,Borehole,Moderate,256000
Apata,Self Contained,1,1,36,390,2022,Semi-Furnished,Well,Stable,279000
Agbowo,Room,1,1,18,566,2008,Unfurnished,Borehole,Moderate,210000
Ajibode,Mini Flat,1,2,63,404,1998,Unfurnished,Borehole,Moderate,431000
Bodija,2 Bedroom Flat,2,2,84,442,1998,Semi-Furnished,Borehole,Stable,1188000
Agbowo,2 Bedroom Flat,2,2,96,603,1994,Semi-Furnished,Borehole,Moderate,840000
Agbowo,2 Bedroom Flat,2,2,97,592,2012,Unfurnished,Borehole,Moderate,826000
Agbowo,Room,1,1,27,474,2023,Semi-Furnished,Borehole,Stable,301000
Challenge,Room,1,1,20,501,2011,Fully Furnished,Borehole,Stable,196000
Bodija,Room,1,1,24,288,1994,Unfurnished,Borehole,Moderate,292000
Agbowo,Self Contained,1,1,25,802,1990,Unfurnished,Borehole,Poor,315000
Akobo,Room,1,1,21,673,2015,Semi-Furnished,Borehole,Moderate,329000
Oluyole,Room,1,1,21,667,2007,Unfurnished,Borehole,Stable,238000
Agbowo,Duplex,4,4,271,262,2015,Unfurnished,Borehole,Moderate,1858000
Agbowo,Self Contained,1,1,32,442,2004,Unfurnished,Borehole,Stable,296000
Ajibode,Room,1,1,20,489,1991,Fully Furnished,Borehole,Poor,256000
Ajibode,Self Contained,1,1,31,202,2004,Unfurnished,Borehole,Moderate,268000
Oluyole,Mini Flat,1,2,50,710,2000,Unfurnished,Borehole,Stable,438000
Ajibode,Self Contained,1,1,39,811,2009,Semi-Furnished,Borehole,Moderate,363000
Bodija,Room,1,1,23,921,2006,Unfurnished,Borehole,Poor,326000
Oluyole,Self Contained,1,1,35,361,1994,Fully Furnished,Borehole,Stable,569000
Ajibode,Room,1,1,22,571,2022,Unfurnished,Borehole,Stable,184000
Akobo,Mini Flat,1,2,46,788,2014,Semi-Furnished,Borehole,Moderate,917000
Agbowo,3 Bedroom Flat,3,3,125,504,1996,Unfurnished,Public,Stable,1078000
Ologuneru,Room,1,1,22,447,2023,Unfurnished,Borehole,Moderate,116000
Bodija,Self Contained,1,1,30,214,2004,Unfurnished,Well,Moderate,474000
Challenge,2 Bedroom Flat,2,2,88,753,2002,Semi-Furnished,Well,Stable,776000
Bodija,Mini Flat,1,2,57,546,2021,Semi-Furnished,Well,Poor,797000
Ajibode,Room,1,1,19,418,2003,Unfurnished,Borehole,Poor,207000
Akobo,Room,1,1,22,601,2009,Semi-Furnished,Borehole,Stable,252000
Apata,Self Contained,1,1,31,577,2005,Semi-Furnished,Well,Stable,276000
Akobo,Room,1,1,19,580,2019,Semi-Furnished,Borehole,Poor,283000
Mokola,2 Bedroom Flat,2,2,90,510,2008,Unfurnished,Borehole,Stable,701000
Ring Road,Self Contained,1,1,26,842,2011,Semi-Furnished,Well,Poor,321000
Agbowo,Room,1,1,22,525,1999,Unfurnished,Borehole,Moderate,228000
Ajibode,Mini Flat,1,2,55,841,1997,Unfurnished,Borehole,Moderate,439000
Akobo,Room,1,1,29,651,2018,Semi-Furnished,Public,Moderate,314000
Agbowo,Self Contained,1,1,33,613,2003,Unfurnished,Well,Stable,326000
Mokola,Self Contained,1,1,25,529,2000,Semi-Furnished,Borehole,Moderate,318000
Ring Road,Room,1,1,24,725,2019,Semi-Furnished,Public,Stable,230000
Agbowo,2 Bedroom Flat,2,2,96,570,2022,Unfurnished,Public,Poor,724000
